pesq_wb,stoi,si_sdr,system,condition
3.8865389823913574,0.7604626756667988,-6.01411247253418,dac_baseline,noisy
3.886537790298462,0.7604590308575048,-6.014651298522949,dac_postfilter,noisy
3.3587241172790527,0.7692445634497929,-9.960796356201172,dac_baseline,noisy
3.3587279319763184,0.7692450485668094,-9.961074829101562,dac_postfilter,noisy
3.6282191276550293,0.779352234561042,-12.366990089416504,dac_baseline,noisy
3.628330707550049,0.7793521956291279,-12.366446495056152,dac_postfilter,noisy
3.721194267272949,0.7583392177541829,-12.838515281677246,dac_baseline,noisy
3.7211852073669434,0.7583399445088792,-12.839299201965332,dac_postfilter,noisy
4.160299777984619,0.9375796752812655,-27.359086990356445,dac_baseline,noisy
4.160339832305908,0.9375589772379394,-27.351179122924805,dac_postfilter,noisy
4.277876377105713,0.9615642701687893,-11.706247329711914,dac_baseline,noisy
4.277981281280518,0.961556470454459,-11.706181526184082,dac_postfilter,noisy
4.206282615661621,0.8725569071375484,-15.29624080657959,dac_baseline,noisy
4.206352710723877,0.8725455973863905,-15.297083854675293,dac_postfilter,noisy
3.767456293106079,0.9391562268547979,-10.014830589294434,dac_baseline,noisy
3.7674622535705566,0.939156514685587,-10.014853477478027,dac_postfilter,noisy
3.9190027713775635,0.9421819878425117,-16.21036720275879,dac_baseline,noisy
3.918994903564453,0.9421819879873244,-16.2103271484375,dac_postfilter,noisy
3.579111099243164,0.9283901061269076,-38.22175979614258,dac_baseline,noisy
3.5791056156158447,0.9283880055587126,-38.21833038330078,dac_postfilter,noisy
3.9372591972351074,0.9540569178363052,-14.344474792480469,dac_baseline,noisy
3.937256097793579,0.9540557017516752,-14.344277381896973,dac_postfilter,noisy
3.926485776901245,0.8950333900269078,-15.46322250366211,dac_baseline,noisy
3.926487445831299,0.8950315879133205,-15.46322250366211,dac_postfilter,noisy
3.882211208343506,0.8600161149669701,-6.037426471710205,dac_baseline,noisy
3.882195472717285,0.8600175037866928,-6.0380401611328125,dac_postfilter,noisy
3.949641227722168,0.8981859540372088,-2.9310991764068604,dac_baseline,noisy
3.9495608806610107,0.8981957701485425,-2.9305851459503174,dac_postfilter,noisy
3.860316753387451,0.8329776868028979,-5.12611198425293,dac_baseline,noisy
3.8601529598236084,0.8329761403838204,-5.1251115798950195,dac_postfilter,noisy
3.693056583404541,0.8970755693850304,-5.136496543884277,dac_baseline,noisy
3.6931889057159424,0.8970788800898633,-5.135708808898926,dac_postfilter,noisy
2.0667033195495605,0.8957297341998317,-7.577300548553467,dac_baseline,noisy
2.0667059421539307,0.8957323032799355,-7.576951503753662,dac_postfilter,noisy
2.682807207107544,0.9273919936256547,-8.475940704345703,dac_baseline,noisy
2.6828105449676514,0.9273919318238483,-8.475750923156738,dac_postfilter,noisy
3.5586998462677,0.9230318552414583,-2.455636739730835,dac_baseline,noisy
3.5588316917419434,0.923028095138855,-2.4553282260894775,dac_postfilter,noisy
4.007596969604492,0.9621969098685706,-3.3956823348999023,dac_baseline,noisy
4.0075907707214355,0.9621969840755547,-3.3955612182617188,dac_postfilter,noisy
3.9813926219940186,0.9536532994945333,-4.99318790435791,dac_baseline,noisy
3.9813785552978516,0.9536532489650308,-4.993052959442139,dac_postfilter,noisy
